cop_name,block,box,exposed,cop_fam,tank,parasite_fam,infected,trt,cerc_d9,cerc_multinom,failed_devo,dead,days_surv,cop_length,proc_size1,proc_size2,remarks
01_1A,1,1,1,I,1,Q,0,uninfected,,,,1,16,,,,
01_1B,1,1,1,I,1,Q,0,uninfected,,,,1,20,,,,
01_1C,1,1,1,I,1,Q,0,uninfected,,,,1,16,,,,
01_1D,1,1,0,I,1,Q,0,unexposed,,,,0,21,,,,
01_2A,1,1,1,I,1,Q,0,uninfected,,,,0,21,,,,
01_2B,1,1,1,I,1,Q,1,infected,0,0,0,1,14,,,,
01_2C,1,1,1,I,1,Q,0,uninfected,,,,0,21,,,,
01_2D,1,1,1,I,1,Q,0,uninfected,,,,1,21,,,,
01_3A,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_3B,1,1,1,I,2,Q,,,,,,1,6,,,,
01_3C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_3D,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4A,1,1,1,I,2,Q,1,infected,0,0,0,0,21,359.436,26806,26526,
01_4B,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4D,1,1,1,I,2,Q,1,infected,0,0,0,0,21,404.239,25081,28347,
01_5A,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_5B,1,1,1,I,2,Q,0,uninfected,,,,1,10,,,,
01_5C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_5D,1,1,1,I,2,Q,0,uninfected,,,,1,8,,,,
01_6A,1,1,1,I,2,Q,0,uninfected,,,,1,21,,,,
01_6B,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_6C,1,1,0,I,2,Q,0,unexposed,,,,0,21,,,,
01_6D,1,1,1,I,2,Q,1,infected,0,0,0,0,21,357.33,24326,24386,
02_1A,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_1B,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_1C,1,1,0,I,2,U,0,unexposed,,,,0,21,,,,
02_1D,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_2A,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_2B,1,1,1,I,2,U,0,uninfected,,,,1,10,,,,
02_2C,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_2D,1,1,1,I,2,U,0,uninfected,,,,1,10,,,,
02_3A,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_3B,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_3C,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_3D,1,1,1,I,2,U,,,,,,1,4,,,,
02_4A,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_4B,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_4C,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_4D,1,1,1,I,2,U,,,,,,1,4,,,,
02_5A,1,1,1,I,2,U,1,infected,0,0,0,0,21,350.464,24884,27289,
02_5B,1,1,1,I,1,U,0,uninfected,,,,1,20,,,,
02_5C,1,1,1,I,1,U,1,infected,0,0,0,1,16,,,,
02_5D,1,1,0,I,1,U,0,unexposed,,,,1,21,,,,
02_6A,1,1,1,I,1,U,0,uninfected,,,,0,21,,,,
02_6B,1,1,1,I,1,U,0,uninfected,,,,0,21,,,,
02_6C,1,1,1,I,1,U,0,uninfected,,,,1,18,,,,
02_6D,1,1,1,I,1,U,0,uninfected,,,,1,20,,,,
03_1A,1,1,1,I,1,V,0,uninfected,,,,0,21,,,,
03_1B,1,1,1,I,1,V,,,,,,1,6,,,,
03_1C,1,1,0,I,1,V,0,unexposed,,,,0,21,,,,
03_1D,1,1,1,I,1,V,1,infected,0,0,0,0,21,374.626,27163,29039,
03_2A,1,1,1,I,1,V,0,uninfected,,,,0,21,,,,
03_2B,1,1,1,I,1,V,0,uninfected,,,,1,14,,,,
03_2C,1,1,1,I,1,V,1,infected,0,0,0,0,21,364.742,20486,19030,
03_2D,1,1,1,I,2,V,1,infected,0,0,0,0,21,361.134,32039,31761,
03_3A,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_3B,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_3C,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_3D,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_4A,1,1,1,I,2,V,1,infected,0,0,0,0,21,418.524,24632,25133,
03_4B,1,1,1,I,2,V,0,uninfected,,,,1,12,,,,
03_4C,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_4D,1,1,0,I,2,V,0,unexposed,,,,0,21,,,,
03_5A,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_5B,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_5C,1,1,1,I,2,V,,,,,,1,4,,,,
03_5D,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_6A,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
03_6B,1,1,1,I,2,V,1,infected,0,0,0,1,18,,,,
03_6C,1,1,1,I,2,V,1,infected,0,1,0,0,21,356.427,26534,28434,
03_6D,1,1,1,I,2,V,0,uninfected,,,,0,21,,,,
04_1A,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_1B,1,1,1,I,2,W,0,uninfected,,,,1,10,,,,
04_1C,1,1,1,I,2,W,1,infected,0,0,0,0,21,429.969,28672,31829,
04_1D,1,1,1,I,2,W,1,infected,0,0,0,0,21,366.467,27894,28574,
04_2A,1,1,0,I,2,W,0,unexposed,,,,0,21,,,,
04_2B,1,1,1,I,2,W,0,uninfected,,,,1,16,,,,
04_2C,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_2D,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_3A,1,1,1,I,2,W,0,uninfected,,,,1,18,,,,
04_3B,1,1,1,I,2,W,,,,,,1,4,,,,
04_3C,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_3D,1,1,1,I,2,W,0,uninfected,,,,1,16,,,,
04_4A,1,1,1,I,2,W,0,uninfected,,,,1,16,,,,
04_4B,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_4C,1,1,1,I,2,W,0,uninfected,,,,1,18,,,,
04_4D,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_5A,1,1,1,I,2,W,0,uninfected,,,,0,21,,,,
04_5B,1,1,1,I,1,W,1,infected,0,0,0,1,18,,,,
04_5C,1,1,1,I,1,W,1,infected,0,0,0,1,20,,,,
04_5D,1,1,0,I,1,W,0,unexposed,,,,0,21,,,,
04_6A,1,1,1,I,1,W,1,infected,0,0,0,0,21,369.965,26157,26641,
04_6B,1,1,1,I,1,W,1,infected,0,0,0,0,21,373.909,27618,31453,
04_6C,1,1,1,I,1,W,0,uninfected,,,,0,21,,,,
04_6D,1,1,1,I,1,W,0,uninfected,,,,0,21,,,,
05_1A,1,1,1,I,1,Z,0,uninfected,,,,1,21,,,,
05_1B,1,1,1,I,1,Z,0,uninfected,,,,1,16,,,,
05_1C,1,1,1,I,1,Z,0,uninfected,,,,1,10,,,,
05_1D,1,1,0,I,1,Z,0,unexposed,,,,0,21,,,,
05_2A,1,1,1,I,1,Z,0,uninfected,,,,0,21,,,,
05_2B,1,1,1,I,1,Z,,,,,,1,6,,,,
05_2C,1,1,1,I,1,Z,1,infected,0,0,0,1,20,,,,
05_2D,1,1,1,I,2,Z,1,infected,0,0,0,0,21,374.162,27647,27423,
05_3A,1,1,1,I,2,Z,0,uninfected,,,,1,20,,,,
05_3B,1,1,1,I,2,Z,1,infected,0,0,0,0,21,382.824,29249,32432,
05_3C,1,1,1,I,2,Z,0,uninfected,,,,0,21,,,,
05_3D,1,1,1,I,2,Z,0,uninfected,,,,1,14,,,,
05_4A,1,1,1,I,2,Z,0,uninfected,,,,1,10,,,,
05_4B,1,1,1,I,2,Z,1,infected,1,2,0,0,21,368.875,30099,28655,
05_4C,1,1,1,I,2,Z,0,uninfected,,,,0,21,,,,
05_4D,1,1,0,I,2,Z,0,unexposed,,,,0,21,,,,
05_5A,1,1,1,I,2,Z,,,,,,1,6,,,,
05_5B,1,1,1,I,2,Z,0,uninfected,,,,0,21,,,,
05_5C,1,1,1,I,2,Z,1,infected,0,0,0,0,21,411.491,23928,24747,
05_5D,1,1,1,I,2,Z,0,uninfected,,,,0,21,,,,
05_6A,1,1,1,I,2,Z,0,uninfected,,,,1,18,,,,
05_6B,1,1,1,I,2,Z,1,infected,1,2,0,0,21,408.016,28780,29480,
05_6C,1,1,1,I,2,Z,1,infected,0,0,0,0,21,361.068,23972,27023,
05_6D,1,1,1,I,2,Z,0,uninfected,,,,0,21,,,,
06_1A,1,1,0,II,2,Q,0,unexposed,,,,0,21,,,,
06_1B,1,1,1,II,2,Q,0,uninfected,,,,1,20,,,,
06_1C,1,1,1,II,2,Q,1,infected,0,0,0,0,21,360.846,25849,26323,
06_1D,1,1,1,II,2,Q,0,uninfected,,,,1,12,,,,
06_2A,1,1,1,II,2,Q,0,uninfected,,,,0,21,,,,
06_2B,1,1,1,II,2,Q,0,uninfected,,,,0,21,,,,
06_2C,1,1,1,II,2,Q,0,uninfected,,,,0,21,,,,
06_2D,1,1,1,II,2,Q,1,infected,0,0,0,0,21,362.891,23462,23974,
06_3A,1,1,1,II,2,Q,1,infected,0,0,0,0,21,349.298,28061,22686,
06_3B,1,1,1,II,2,Q,0,uninfected,,,,1,21,,,,
06_3C,1,1,1,II,2,Q,1,infected,0,0,0,0,21,358.232,23134,23371,
06_3D,1,1,1,II,2,Q,0,uninfected,,,,1,20,,,,
06_4A,1,1,1,II,1,Q,1,infected,0,0,0,0,21,353.476,21712,24253,
06_4B,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_4C,1,1,1,II,1,Q,0,uninfected,,,,1,18,,,,
06_4D,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_5A,1,1,1,II,1,Q,1,infected,0,0,0,0,21,369.012,25270,26434,
06_5B,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_5C,1,1,1,II,1,Q,1,infected,0,0,0,0,21,373.149,26955,27271,
06_5D,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_6A,1,1,0,II,1,Q,0,unexposed,,,,0,21,,,,
06_6B,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_6C,1,1,1,II,1,Q,0,uninfected,,,,0,21,,,,
06_6D,1,1,1,II,1,Q,1,infected,0,0,0,0,21,367.696,25934,26596,
07_1A,1,1,1,II,1,U,1,infected,0,0,0,0,21,352.369,25031,22072,
07_1B,1,1,1,II,1,U,0,uninfected,,,,0,21,,,,
07_1C,1,1,1,II,1,U,,,,,,1,4,,,,
07_1D,1,1,1,II,1,U,1,infected,0,0,0,0,21,373.134,21713,22329,
07_2A,1,1,1,II,1,U,0,uninfected,,,,0,21,,,,
07_2B,1,1,1,II,1,U,1,infected,0,0,0,0,21,369.878,22856,24935,
07_2C,1,1,1,II,1,U,0,uninfected,,,,0,21,,,,
07_2D,1,1,1,II,1,U,1,infected,0,0,0,0,21,369.103,25794,22293,
07_3A,1,1,1,II,1,U,0,uninfected,,,,0,21,,,,
07_3B,1,1,0,II,1,U,0,unexposed,,,,0,21,,,,
07_3C,1,1,1,II,1,U,1,infected,0,0,0,0,21,360.322,27466,25110,
07_3D,1,1,1,II,1,U,0,uninfected,,,,0,21,,,,
07_4A,1,1,1,II,2,U,0,uninfected,,,,0,21,,,,
07_4B,1,1,1,II,2,U,0,uninfected,,,,0,21,,,,
07_4C,1,1,1,II,2,U,0,uninfected,,,,1,14,,,,
07_4D,1,1,1,II,2,U,0,uninfected,,,,0,21,,,,
07_5A,1,1,1,II,2,U,,,,,,1,4,,,,
07_5B,1,1,1,II,2,U,1,infected,0,0,0,0,21,356.261,23852,23469,
07_5C,1,1,1,II,2,U,0,uninfected,,,,0,21,,,,
07_5D,1,1,0,II,2,U,0,unexposed,,,,1,10,,,,
07_6A,1,1,1,II,2,U,1,infected,0,0,0,0,21,363.633,21603,20505,
07_6B,1,1,1,II,2,U,1,infected,0,0,0,0,21,388.126,34134,30884,
07_6C,1,1,1,II,2,U,0,uninfected,,,,0,21,,,,
07_6D,1,1,1,II,2,U,1,infected,0,0,0,0,21,355.376,26560,23234,
08_1A,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_1B,1,1,1,II,2,V,0,uninfected,,,,1,10,,,,
08_1C,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_1D,1,1,0,II,2,V,0,unexposed,,,,1,14,,,,
08_2A,1,1,1,II,2,V,1,infected,0,0,0,0,21,361.515,33485,32869,
08_2B,1,1,1,II,2,V,0,uninfected,,,,1,20,,,,
08_2C,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_2D,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_3A,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_3B,1,1,1,II,2,V,1,infected,1,2,0,1,16,,,,
08_3C,1,1,1,II,2,V,0,uninfected,,,,0,21,,,,
08_3D,1,1,1,II,2,V,1,infected,0,0,0,0,21,360.569,30415,29122,
08_4A,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_4B,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_4C,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_4D,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_5A,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_5B,1,1,1,II,1,V,1,infected,1,2,0,0,21,361.089,27919,26229,
08_5C,1,1,1,II,1,V,1,infected,0,0,0,0,21,354.201,21639,24292,
08_5D,1,1,1,II,1,V,1,infected,1,2,0,0,21,354.09,22581,21650,
08_6A,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_6B,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
08_6C,1,1,0,II,1,V,0,unexposed,,,,0,21,,,,
08_6D,1,1,1,II,1,V,0,uninfected,,,,0,21,,,,
09_1A,1,1,1,II,1,W,0,uninfected,,,,0,21,,,,
09_1B,1,1,1,II,1,W,1,infected,0,0,0,0,21,368.828,25646,25606,
09_1C,1,1,0,II,1,W,0,unexposed,,,,0,21,,,,
09_1D,1,1,1,II,1,W,1,infected,0,0,0,1,21,,,,
09_2A,1,1,1,II,1,W,0,uninfected,,,,1,16,,,,
09_2B,1,1,1,II,1,W,1,infected,0,0,0,0,21,368.611,24122,24097,
09_2C,1,1,1,II,1,W,,,,,,1,4,,,,
09_2D,1,1,1,II,1,W,1,infected,0,0,0,0,21,366.526,31052,32654,
09_3A,1,1,1,II,1,W,0,uninfected,,,,0,21,,,,
09_3B,1,1,1,II,1,W,0,uninfected,,,,0,21,,,,
09_3C,1,1,1,II,1,W,,,,,,1,4,,,,
09_3D,1,1,1,II,1,W,1,infected,0,0,0,0,21,361.931,31097,30539,
09_4A,1,1,1,II,2,W,0,uninfected,,,,0,21,,,,
09_4B,1,1,1,II,2,W,1,infected,0,0,0,1,20,,,,
09_4C,1,1,1,II,2,W,1,infected,,,,1,9,,,,
09_4D,1,1,1,II,2,W,0,uninfected,,,,0,21,,,,
09_5A,1,1,1,II,2,W,0,uninfected,,,,0,21,,,,
09_5B,1,1,1,II,2,W,0,uninfected,,,,0,21,,,,
09_5C,1,1,1,II,2,W,0,uninfected,,,,0,21,,,,
09_5D,1,1,1,II,2,W,1,infected,0,0,0,0,21,368.185,32906,32631,
09_6A,1,1,1,II,2,W,0,uninfected,,,,1,21,,,,
09_6B,1,1,0,II,2,W,0,unexposed,,,,1,18,,,,
09_6C,1,1,1,II,2,W,1,infected,0,0,0,0,21,355.983,26987,26293,
09_6D,1,1,1,II,2,W,1,infected,0,0,0,0,21,356.35,23457,23766,
10_1A,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_1B,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_1C,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_1D,1,1,0,II,2,Z,0,unexposed,,,,0,21,,,,
10_2A,1,1,1,II,2,Z,1,infected,0,0,0,0,21,351.369,25072,25586,
10_2B,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_2C,1,1,1,II,2,Z,1,infected,0,0,0,0,21,357.06,24233,23324,
10_2D,1,1,1,II,2,Z,1,infected,0,0,0,0,21,365.744,20296,20897,
10_3A,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_3B,1,1,1,II,2,Z,1,infected,0,0,0,0,21,363.6,23798,26220,
10_3C,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_3D,1,1,1,II,2,Z,0,uninfected,,,,0,21,,,,
10_4A,1,1,1,II,1,Z,0,uninfected,,,,1,12,,,,
10_4B,1,1,1,II,1,Z,0,uninfected,,,,1,20,,,,
10_4C,1,1,1,II,1,Z,0,uninfected,,,,1,21,,,,
10_4D,1,1,1,II,1,Z,0,uninfected,,,,0,21,,,,
10_5A,1,1,1,II,1,Z,,,,,,1,4,,,,
10_5B,1,1,1,II,1,Z,,,,,,1,4,,,,
10_5C,1,1,1,II,1,Z,1,infected,1,2,0,0,21,370.303,25991,23730,
10_5D,1,1,1,II,1,Z,0,uninfected,,,,0,21,,,,
10_6A,1,1,1,II,1,Z,0,uninfected,,,,0,21,,,,
10_6B,1,1,0,II,1,Z,0,unexposed,,,,1,12,,,,
10_6C,1,1,1,II,1,Z,0,uninfected,,,,0,21,,,,
10_6D,1,1,1,II,1,Z,1,infected,1,2,0,0,21,370.666,35707,31894,
11_1A,1,1,1,III,1,Q,0,uninfected,,,,1,16,,,,
11_1B,1,1,1,III,1,Q,0,uninfected,,,,0,21,,,,
11_1C,1,1,1,III,1,Q,1,infected,0,0,0,1,14,,,,
11_1D,1,1,1,III,1,Q,1,infected,0,0,0,0,21,383.193,27808,32632,
11_2A,1,1,1,III,1,Q,1,infected,0,1,0,1,12,,,,
11_2B,1,1,1,III,1,Q,0,uninfected,,,,1,12,,,,
11_2C,1,1,0,III,1,Q,0,unexposed,,,,0,21,,,,
11_2D,1,1,1,III,1,Q,0,uninfected,,,,0,21,,,,
11_3A,1,1,1,III,1,Q,,,,,,1,4,,,,
11_3B,1,1,1,III,1,Q,0,uninfected,,,,0,21,,,,
11_3C,1,1,1,III,1,Q,0,uninfected,,,,1,16,,,,
11_3D,1,1,1,III,1,Q,0,uninfected,,,,1,16,,,,
11_4A,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
11_4B,1,1,0,III,2,Q,0,unexposed,,,,1,21,,,,
11_4C,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
11_4D,1,1,1,III,2,Q,0,uninfected,,,,1,18,,,,
11_5A,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
11_5B,1,1,1,III,2,Q,1,infected,0,0,0,0,21,364.297,22750,23021,
11_5C,1,1,1,III,2,Q,,,,,,1,4,,,,
11_5D,1,1,1,III,2,Q,1,infected,,,,1,9,,,,
11_6A,1,1,1,III,2,Q,0,uninfected,,,,1,10,,,,
11_6B,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
11_6C,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
11_6D,1,1,1,III,2,Q,0,uninfected,,,,0,21,,,,
12_1A,1,1,1,III,2,U,,,,,,1,4,,,,
12_1B,1,1,1,III,2,U,0,uninfected,,,,1,20,,,,
12_1C,1,1,1,III,2,U,0,uninfected,,,,1,21,,,,
12_1D,1,1,1,III,2,U,0,uninfected,,,,0,21,,,,
12_2A,1,1,1,III,2,U,0,uninfected,,,,0,21,,,,
12_2B,1,1,1,III,2,U,0,uninfected,,,,0,21,,,,
12_2C,1,1,1,III,2,U,,,,,,,,,,,no cop
12_2D,1,1,1,III,2,U,0,uninfected,,,,0,21,,,,
12_3A,1,1,1,III,2,U,0,uninfected,,,,1,12,,,,
12_3B,1,1,1,III,2,U,0,uninfected,,,,0,21,,,,
12_3C,1,1,0,III,2,U,0,unexposed,,,,0,21,,,,
12_3D,1,1,1,III,2,U,0,uninfected,,,,1,20,,,,
12_4A,1,1,1,III,1,U,0,uninfected,,,,0,21,,,,
12_4B,1,1,0,III,1,U,0,unexposed,,,,0,21,,,,
12_4C,1,1,1,III,1,U,0,uninfected,,,,0,21,,,,
12_4D,1,1,1,III,1,U,0,uninfected,,,,0,21,,,,
12_5A,1,1,1,III,1,U,0,uninfected,,,,1,21,,,,
12_5B,1,1,1,III,1,U,0,uninfected,,,,0,21,,,,
12_5C,1,1,1,III,1,U,,,,,,1,4,,,,
12_5D,1,1,1,III,1,U,1,infected,0,0,0,1,20,,,,
12_6A,1,1,1,III,1,U,,,,,,1,4,,,,
12_6B,1,1,1,III,1,U,0,uninfected,,,,1,20,,,,
12_6C,1,1,1,III,1,U,0,uninfected,,,,0,21,,,,
12_6D,1,1,1,III,1,U,1,infected,1,2,0,0,21,377.069,24241,28460,
13_1A,1,1,1,III,1,V,1,infected,1,2,0,1,18,,,,
13_1B,1,1,1,III,1,V,1,infected,0,0,0,1,20,,,,
13_1C,1,1,0,III,1,V,0,unexposed,,,,0,21,,,,
13_1D,1,1,1,III,1,V,0,uninfected,,,,1,14,,,,
13_2A,1,1,1,III,1,V,0,uninfected,,,,1,20,,,,
13_2B,1,1,1,III,1,V,0,uninfected,,,,0,21,,,,
13_2C,1,1,1,III,1,V,0,uninfected,,,,1,18,,,,
13_2D,1,1,1,III,1,V,0,uninfected,,,,1,16,,,,
13_3A,1,1,1,III,1,V,,,,,,1,4,,,,
13_3B,1,1,1,III,1,V,0,uninfected,,,,1,14,,,,
13_3C,1,1,1,III,1,V,0,uninfected,,,,0,21,,,,
13_3D,1,1,1,III,1,V,1,infected,0,1,0,0,21,383.021,25239,27101,
13_4A,1,1,0,III,2,V,0,unexposed,,,,0,21,,,,
13_4B,1,1,1,III,2,V,0,uninfected,,,,1,16,,,,
13_4C,1,1,1,III,2,V,0,uninfected,,,,0,21,,,,
13_4D,1,1,1,III,2,V,,,,,,1,4,,,,
13_5A,1,1,1,III,2,V,0,uninfected,,,,0,21,,,,
13_5B,1,1,1,III,2,V,1,infected,0,0,0,1,20,,,,
13_5C,1,1,1,III,2,V,0,uninfected,,,,1,16,,,,
13_5D,1,1,1,III,2,V,0,uninfected,,,,1,18,,,,
13_6A,1,1,1,III,2,V,1,infected,0,0,0,0,21,373.615,26628,24319,
13_6B,1,1,1,III,2,V,,,,,,1,4,,,,
13_6C,1,1,1,III,2,V,,,,,,1,4,,,,
13_6D,1,1,1,III,2,V,1,infected,0,0,0,0,21,361.681,27796,28076,
14_1A,1,1,1,III,2,W,0,uninfected,,,,0,21,,,,
14_1B,1,1,1,III,2,W,0,uninfected,,,,0,21,,,,
